GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
makeself-maven-plugin,com.github.hazendaz.maven.makeself_maven_plugin,HelpMojo,106,667,29,83,19,137,24,48,0,16
makeself-maven-plugin,com.hazendaz.maven.makeself,AbstractGitMojo,26,327,2,16,5,72,3,13,1,6
makeself-maven-plugin,com.hazendaz.maven.makeself,PortableGit,9,65,0,0,3,18,0,7,0,7
makeself-maven-plugin,com.hazendaz.maven.makeself,ProcessUtils,0,3,0,0,0,1,0,1,0,1
makeself-maven-plugin,com.hazendaz.maven.makeself,MakeselfMojo,587,814,40,128,95,180,23,69,1,7
makeself-maven-plugin,com.hazendaz.maven.makeself,GitMojo,42,17,8,2,9,6,5,2,0,2
